Artist,Followers,Genres,Popularity
Gorillaz,11029273,"['alternative hip hop', 'modern rock', 'rock']",76
Red Hot Chili Peppers,20336411,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",81
50 Cent,12956918,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",80
Metallica,26352973,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",79
Coldplay,48226976,"['permanent wave', 'pop']",85
Daft Punk,9710792,"['electro', 'filter house', 'rock']",78
Linkin Park,24770249,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",82
Radiohead,8982243,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",78
AC/DC,27669117,"['australian rock', 'hard rock', 'rock']",78
Black Eyed Peas,7823197,"['dance pop', 'pop', 'pop rap']",77
Michael Jackson,29392088,"['r&b', 'soul']",80
P!nk,16109315,"['dance pop', 'pop']",78
Eminem,78685359,"['detroit hip hop', 'hip hop', 'rap']",87
Pharrell Williams,4312626,"['dance pop', 'pop']",76
Khalid,16218345,"['pop', 'pop r&b']",81
Shakira,32094839,"['colombian pop', 'dance pop', 'latin pop', 'pop']",84
Machine Gun Kelly,5163617,"['ohio hip hop', 'pop rap']",74
Nicky Jam,19208376,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",78
The Beatles,26605229,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",83
Pitbull,10303244,"['dance pop', 'miami hip hop', 'pop']",80
Sean Paul,4540840,"['dance pop', 'dancehall', 'pop', 'pop rap']",77
Elvis Presley,8908334,"['rock-and-roll', 'rockabilly']",76
2Pac,16673535,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",77
Snoop Dogg,10583430,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",79
Lil Wayne,14241092,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",84
Sia,27270957,"['australian dance', 'australian pop', 'pop']",82
Fleetwood Mac,10691963,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",79
ABBA,11243300,"['europop', 'swedish pop']",77
Frank Sinatra,6695626,"['adult standards', 'easy listening', 'lounge']",77
Tiësto,7173551,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",80
Elton John,12513740,"['glam rock', 'mellow gold', 'piano rock', 'rock']",80
JAY-Z,8753291,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",81
21 Savage,15587223,"['atl hip hop', 'hip hop', 'rap']",87
Kanye West,22122276,"['chicago rap', 'hip hop', 'rap']",89
Luis Miguel,14131504,"['bolero', 'latin pop']",80
Beyoncé,36406203,"['pop', 'r&b']",82
Daddy Yankee,33980621,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",83
Don Toliver,3445607,"['pop rap', 'rap', 'trap']",79
Camilo,18417889,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']",75
Britney Spears,13276145,"['dance pop', 'pop']",78
Farruko,15781625,"['reggaeton', 'trap latino', 'urbano latino']",80
Wisin & Yandel,6867167,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",76
Disney,414248,['movie tunes'],79
Chris Brown,20859762,"['pop rap', 'r&b', 'rap']",85
Tory Lanez,6155340,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",79
Mariah Carey,9468997,"['dance pop', 'pop', 'urban contemporary']",78
A.R. Rahman,41196315,['filmi'],77
Die drei ???,269350,['hoerspiel'],73
Pritam,23598451,"['filmi', 'indian instrumental', 'modern bollywood']",85
Shreya Ghoshal,20801453,"['filmi', 'modern bollywood']",80
Pink Floyd,19835528,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",76
System Of A Down,9851555,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77
Green Day,14482486,"['modern rock', 'permanent wave', 'punk', 'rock']",78
Ludovico Einaudi,3238947,"['compositional ambient', 'neo-classical']",76
Muse,7720455,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",73
Aerosmith,13957814,"['album rock', 'classic rock', 'hard rock', 'rock']",73
Slipknot,10351356,"['alternative metal', 'nu metal', 'rap metal', 'rock']",75
Oasis,9386151,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",74
The Rolling Stones,13517996,"['album rock', 'british invasion', 'classic rock', 'rock']",77
Hans Zimmer,3596492,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",74
Deftones,4614302,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",76
