,Artist
0,Gorillaz
1,Red Hot Chili Peppers
2,50 Cent
3,Metallica
4,Coldplay
5,Daft Punk
6,Linkin Park
7,Radiohead
8,AC/DC
9,Black Eyed Peas
10,Michael Jackson
11,P!nk
12,Eminem
13,Pharrell Williams
14,Khalid
15,Shakira
16,Machine Gun Kelly
17,Nicky Jam
18,The Beatles
19,Pitbull
20,Sean Paul
21,Elvis Presley
22,2Pac
23,Snoop Dogg
24,Lil Wayne
25,Sia
26,Fleetwood Mac
27,ABBA
28,Frank Sinatra
29,Tiësto
30,Elton John
31,JAY-Z
32,21 Savage
33,Kanye West
34,Luis Miguel
35,Beyoncé
36,Daddy Yankee
37,Don Toliver
38,Camilo
39,Britney Spears
40,Farruko
41,Wisin & Yandel
42,Disney
43,Chris Brown
44,Tory Lanez
45,Mariah Carey
46,A.R. Rahman
47,Die drei ???
48,Pritam
49,Shreya Ghoshal
50,Pink Floyd
51,System Of A Down
52,Green Day
53,Ludovico Einaudi
54,Muse
55,Aerosmith
56,Slipknot
57,Oasis
58,The Rolling Stones
59,Hans Zimmer
60,Deftones
61,blink-182
62,Bob Marley & The Wailers
63,David Bowie
64,Bon Jovi
65,Dr. Dre
66,Creedence Clearwater Revival
67,U2
68,Nate Dogg
69,Juanes
70,Maná
71,Bee Gees
72,Billy Joel
73,The Notorious B.I.G.
74,Enrique Iglesias
75,Timbaland
76,Alejandro Sanz
77,Whitney Houston
78,Madonna
79,Alicia Keys
80,John Mayer
81,Christina Aguilera
82,Marc Anthony
83,Ricardo Arjona
84,Stevie Wonder
85,Ludacris
86,Plan B
87,Aventura
88,Usher
89,Vicente Fernández
90,Alejandro Fernández
91,T-Pain
92,Johann Sebastian Bach
93,Jhené Aiko
94,Alka Yagnik
95,Udit Narayan
96,Vishal-Shekhar
97,Bibi und Tina
98,Yuvan Shankar Raja
99,Bibi Blocksberg
100,Pearl Jam
101,The Offspring
102,Johnny Cash
103,Eagles
104,Korn
105,MGMT
106,MF DOOM
107,The Cure
108,Jack Johnson
109,Outkast
110,Ice Cube
111,Phil Collins
112,John Williams
113,Soda Stereo
114,Nas
115,Luis Fonsi
116,Backstreet Boys
117,Los Ángeles Azules
118,Zedd
119,Nat King Cole
120,Armin van Buuren
121,Juicy J
122,Julieta Venegas
123,Bruce Springsteen
124,Wham!
125,José José
126,Los Tigres Del Norte
127,Bryan Adams
128,Dean Martin
129,Nelly Furtado
130,Ricky Martin
131,Jennifer Lopez
132,Sido
133,Wolfgang Amadeus Mozart
134,Juan Gabriel
135,Nelly
136,Frédéric Chopin
137,Marco Antonio Solís
138,Céline Dion
139,Alesso
140,Joan Sebastian
141,Bing Crosby
142,S. P. Balasubrahmanyam
143,Sonu Nigam
144,Lata Mangeshkar
145,La Arrolladora Banda El Limón De Rene Camacho
146,KK
147,Anahí
148,Shankar Mahadevan
149,Kumar Sanu
150,Iron Maiden
151,Black Sabbath
152,thasup
153,Limp Bizkit
154,John Lennon
155,Disturbed
156,The Doors
157,R.E.M.
158,Scorpions
159,Norah Jones
160,The Smashing Pumpkins
161,Skillet
162,"Earth, Wind & Fire"
163,Weezer
164,Sabaton
165,Train
166,Rod Stewart
167,Tears For Fears
168,TOTO
169,Shaggy
170,Charlie Brown Jr.
171,La Oreja de Van Gogh
172,London Symphony Orchestra
173,Marvin Gaye
174,George Michael
175,Gwen Stefani
176,The Game
177,The Beach Boys
178,Journey
179,Dolly Parton
180,Gabry Ponte
181,SCH
182,Ludwig van Beethoven
183,Jay Chou
184,Diddy
185,Baby Rasta
186,Shania Twain
187,Hillsong Worship
188,George Strait
189,Berliner Philharmoniker
190,Rahat Fateh Ali Khan
191,Kishore Kumar
192,Shekhar Ravjiani
193,Los Tucanes De Tijuana
194,Intocable
195,Los Temerarios
196,K. S. Chithra
197,TKKG
198,Sunidhi Chauhan
199,Benjamin Blümchen
200,Rage Against The Machine
201,The White Stripes
202,Lynyrd Skynyrd
203,Dido
204,Eric Clapton
205,Bob Dylan
206,Bill Withers
207,Louis Armstrong
208,Enya
209,Papa Roach
210,Ozzy Osbourne
211,a-ha
212,Mötley Crüe
213,Alice In Chains
214,Ella Fitzgerald
215,Sade
216,Wyclef Jean
217,Antonio Vivaldi
218,Simon & Garfunkel
219,Robbie Williams
