Artist,Url_spotify,artistLabel,websiteLabel,start,end,dissolved,country_codes
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,http://www.gorillaz.com/,1998,_,_,GB
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,https://redhotchilipeppers.com/,1982,_,_,US
50 Cent,3q7HBObVc0L8jNeTe5Gofh,50 Cent,http://www.50cent.com,1996,_,_,US
Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica,https://www.metallica.com,1981,_,_,US
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,https://www.coldplay.com/,1997,_,_,GB
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,https://daftpunk.com/,1993,2021,2021,FR
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,https://www.linkinpark.com/,1996,2017,_,US
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,https://radiohead.com,1985,_,_,GB
AC/DC,711MCceyCBcFnzjGY4Q7Un,AC/DC,https://acdc.com,1973,_,_,AU
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,http://www.blackeyedpeas.com,1995,_,_,US
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,https://www.michaeljackson.com,1964,2009,_,US
P!nk,1KCSPY1glIKqW2TotWuXOR,Pink,https://www.pinkspage.com/,1995,_,_,US
Eminem,7dGJo4pcD2V6oG8kP0tJRR,Eminem,https://www.eminem.com/,1988,_,_,US
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,https://pharrellwilliams.com,1990,_,_,US
Khalid,6LuN9FCkKOj5PcnpouEgny,Khalid,https://www.khalidofficial.com/,2016,_,_,US
Shakira,0EmeFodog0BfCgMzAIvKQp,Shakira,https://www.shakira.com,1990,_,_,CO+ES
