award_id,award_name,award_type,award_category
0,MOJO Awards,MOJO Awards,
1,Grammy Award for Best Rock Performance by a Duo or Group with Vocal,Grammy Award,Best Rock Performance by a Duo or Group with Vocal
2,MTV Europe Music Award for Best Album,MTV Europe Music Award,Best Album
3,Grammy Award for Best Rock Album,Grammy Award,Best Rock Album
4,Grammy Award for Best Dance/Electronic Album,Grammy Award,Best Dance/Electronic Album
5,Grammy Award for Album of the Year,Grammy Award,Album of the Year
6,Grammy Award for Best Pop Duo/Group Performance,Grammy Award,Best Pop Duo/Group Performance
7,MTV Europe Music Award for Best Group,MTV Europe Music Award,Best Group
8,Grammy Award for Best Melodic Rap Performance,Grammy Award,Best Melodic Rap Performance
9,Grammy Award for Record of the Year,Grammy Award,Record of the Year
10,Grammy Award for Best Male Rock Vocal Performance,Grammy Award,Best Male Rock Vocal Performance
11,Johnny Mercer Award,Johnny Mercer Award,
12,Grammy Award for Best Male Pop Vocal Performance,Grammy Award,Best Male Pop Vocal Performance
13,Grammy Lifetime Achievement Award,Grammy Lifetime Achievement Award,
14,Grammy Award for Best R&B Song,Grammy Award,Best R&B Song
15,Grammy Award for Best Music Video,Grammy Award,Best Music Video
16,Grammy Award for Song of the Year,Grammy Award,Song of the Year
17,Grammy Award for Best Pop Collaboration with Vocals,Grammy Award,Best Pop Collaboration with Vocals
18,Academy Award for Best Original Song,Academy Award,Best Original Song
19,Grammy Award for Best Pop Solo Performance,Grammy Award,Best Pop Solo Performance
20,Grammy Award for Best Progressive R&B Album,Grammy Award,Best Progressive R&B Album
21,Los Premios MTV Latinoamérica,Los Premios MTV Latinoamérica,
22,Latin Grammy Award for Best Female Pop Vocal Album,Latin Grammy Award,Best Female Pop Vocal Album
23,Billboard Latin Music Awards,Billboard Latin Music Awards,
24,Grammy Award for Best Pop Vocal Album,Grammy Award,Best Pop Vocal Album
25,Grammy Trustees Award,Grammy Trustees Award,
26,American Music Award for Favorite Rap/Hip-Hop Artist,American Music Award,Favorite Rap/Hip-Hop Artist
27,Silver Harp,Silver Harp,
28,Golden Harp,Golden Harp,
29,Grammy Awards,Grammy Awards,
30,MTV Europe Music Award for Best Dutch Act,MTV Europe Music Award,Best Dutch Act
31,MusiCares Person of the Year,MusiCares Person of the Year,
32,Golden Globe Award for Best Original Song,Golden Globe Award,Best Original Song
33,Grammy Award for Best Rap Performance,Grammy Award,Best Rap Performance
34,Latin Grammy Award for Best Ranchero/Mariachi Album,Latin Grammy Award,Best Ranchero/Mariachi Album
35,Grammy Award for Best Contemporary R&B Album,Grammy Award,Best Contemporary R&B Album
36,Grammy Award for Best Female R&B Vocal Performance,Grammy Award,Best Female R&B Vocal Performance
37,Grammy Award for Best Traditional R&B Performance,Grammy Award,Best Traditional R&B Performance
38,Grammy Award for Best R&B Performance by a Duo or Group with Vocals,Grammy Award,Best R&B Performance by a Duo or Group with Vocals
39,Grammy Award for Best Female Pop Vocal Performance,Grammy Award,Best Female Pop Vocal Performance
40,Latin Grammy Award for Best Tropical Song,Latin Grammy Award,Best Tropical Song
41,Rockbjörnen,Rockbjörnen,
42,Echo Music Prize,Echo Music Prize,
43,VIVA Comet Awards,VIVA Comet Awards,
44,American Music Award for Favorite Pop/Rock Female Artist,American Music Award,Favorite Pop/Rock Female Artist
45,MTV Europe Music Award for Best R&B,MTV Europe Music Award,Best R&B
46,Bollywood Movie Award – Best Music Director,Bollywood Movie Award – Best Music Director,
47,Broadcast Film Critics Association Award for Best Song,Broadcast Film Critics Association Award,Best Song
48,Academy Award for Best Original Score,Academy Award,Best Original Score
49,BAFTA Award for Best Original Music,BAFTA Award,Best Original Music
50,Polar Music Prize,Polar Music Prize,
51,Juno Award for International Entertainer of the Year,Juno Award,International Entertainer of the Year
52,"Grammy Award for Best Arrangement, Instrumental and Vocals",Grammy Award,"Best Arrangement, Instrumental and Vocals"
53,Latin Grammy Award for Best Rock Song,Latin Grammy Award,Best Rock Song
54,Latin Grammy Award for Best Rock Album,Latin Grammy Award,Best Rock Album
55,"Latin Grammy Award for Best Rock Vocal Album, Duo or Group",Latin Grammy Award,"Best Rock Vocal Album, Duo or Group"
56,Gershwin Prize,Gershwin Prize,
57,MTV Europe Music Award for Best Spanish Act,MTV Europe Music Award,Best Spanish Act
58,ASCAP Latin Heritage Award,ASCAP Latin Heritage Award,
59,Grammy Award for Best Solo Rock Vocal Performance,Grammy Award,Best Solo Rock Vocal Performance
60,Willie Nelson Lifetime Achievement Award,Willie Nelson Lifetime Achievement Award,
61,Americana Award for Artist of the Year,Americana Award,Artist of the Year
62,"""Spirit of Americana"" Free Speech Award","""Spirit of Americana"" Free Speech Award",
63,Grammy Award for Best Score Soundtrack for Visual Media,Grammy Award,Best Score Soundtrack for Visual Media
64,Saturn Award for Best Music,Saturn Award,Best Music
65,Academy Award for Best Original Song Score,Academy Award,Best Original Song Score
66,Academy Award for Best Original Dramatic Score,Academy Award,Best Original Dramatic Score
67,Latin Grammy Lifetime Achievement Award,Latin Grammy Lifetime Achievement Award,
68,International Dance Music Awards,International Dance Music Awards,
69,Latin Grammy Award for Best Reggaeton Performance,Latin Grammy Award,Best Reggaeton Performance
70,Juno Award for Songwriter of the Year,Juno Award,Songwriter of the Year
71,Juno International Achievement Award,Juno International Achievement Award,
72,Jack Richardson Producer of the Year Award,Jack Richardson Producer of the Year Award,
73,Latin Grammy Award for Best Banda Album,Latin Grammy Award,Best Banda Album
74,Georgia Music Hall of Fame,Georgia Music Hall of Fame,
75,Gramophone Award for Lifetime Achievement,Gramophone Award,Lifetime Achievement
