award_id,award_name,award_type,award_category,award_class
0,MOJO Awards,MOJO Awards,_,GenericAward
1,Grammy Award for Best Rock Performance by a Duo or Group with Vocal,Grammy Award,Best Rock Performance by a Duo or Group with Vocal,GrammyAward
2,MTV Europe Music Award for Best Album,MTV Europe Music Award,Best Album,MTVAward
3,Grammy Award for Best Rock Album,Grammy Award,Best Rock Album,GrammyAward
4,Grammy Award for Best Dance/Electronic Album,Grammy Award,Best Dance/Electronic Album,GrammyAward
5,Grammy Award for Album of the Year,Grammy Award,Album of the Year,GrammyAward
6,Grammy Award for Best Pop Duo/Group Performance,Grammy Award,Best Pop Duo/Group Performance,GrammyAward
7,MTV Europe Music Award for Best Group,MTV Europe Music Award,Best Group,MTVAward
8,Grammy Award for Best Melodic Rap Performance,Grammy Award,Best Melodic Rap Performance,GrammyAward
9,Grammy Award for Record of the Year,Grammy Award,Record of the Year,GrammyAward
10,Grammy Award for Best Male Rock Vocal Performance,Grammy Award,Best Male Rock Vocal Performance,GrammyAward
11,Johnny Mercer Award,Johnny Mercer Award,_,GenericAward
12,Grammy Award for Best Male Pop Vocal Performance,Grammy Award,Best Male Pop Vocal Performance,GrammyAward
13,Grammy Lifetime Achievement Award,Grammy Lifetime Achievement Award,_,GrammyAward
14,Grammy Award for Best R&B Song,Grammy Award,Best R&B Song,GrammyAward
15,Grammy Award for Best Music Video,Grammy Award,Best Music Video,GrammyAward
16,Grammy Award for Song of the Year,Grammy Award,Song of the Year,GrammyAward
17,Grammy Award for Best Pop Collaboration with Vocals,Grammy Award,Best Pop Collaboration with Vocals,GrammyAward
18,Academy Award for Best Original Song,Academy Award,Best Original Song,AcademyAward
19,Grammy Award for Best Pop Solo Performance,Grammy Award,Best Pop Solo Performance,GrammyAward
20,Grammy Award for Best Progressive R&B Album,Grammy Award,Best Progressive R&B Album,GrammyAward
21,Los Premios MTV Latinoamérica,Los Premios MTV Latinoamérica,_,MTVAward
22,Latin Grammy Award for Best Female Pop Vocal Album,Latin Grammy Award,Best Female Pop Vocal Album,GrammyAward
23,Billboard Latin Music Awards,Billboard Latin Music Awards,_,BillboardAward
24,Grammy Award for Best Pop Vocal Album,Grammy Award,Best Pop Vocal Album,GrammyAward
25,Grammy Trustees Award,Grammy Trustees Award,_,GrammyAward
26,American Music Award for Favorite Rap/Hip-Hop Artist,American Music Award,Favorite Rap/Hip-Hop Artist,AmericanMusicAward
27,Silver Harp,Silver Harp,_,GenericAward
28,Golden Harp,Golden Harp,_,GenericAward
29,Grammy Awards,Grammy Awards,_,GrammyAward
30,MTV Europe Music Award for Best Dutch Act,MTV Europe Music Award,Best Dutch Act,MTVAward
31,MusiCares Person of the Year,MusiCares Person of the Year,_,GenericAward
32,Golden Globe Award for Best Original Song,Golden Globe Award,Best Original Song,GenericAward
33,Grammy Award for Best Rap Performance,Grammy Award,Best Rap Performance,GrammyAward
34,Latin Grammy Award for Best Ranchero/Mariachi Album,Latin Grammy Award,Best Ranchero/Mariachi Album,GrammyAward
35,Grammy Award for Best Contemporary R&B Album,Grammy Award,Best Contemporary R&B Album,GrammyAward
36,Grammy Award for Best Female R&B Vocal Performance,Grammy Award,Best Female R&B Vocal Performance,GrammyAward
37,Grammy Award for Best Traditional R&B Performance,Grammy Award,Best Traditional R&B Performance,GrammyAward
38,Grammy Award for Best R&B Performance by a Duo or Group with Vocals,Grammy Award,Best R&B Performance by a Duo or Group with Vocals,GrammyAward
39,Grammy Award for Best Female Pop Vocal Performance,Grammy Award,Best Female Pop Vocal Performance,GrammyAward
40,Latin Grammy Award for Best Tropical Song,Latin Grammy Award,Best Tropical Song,GrammyAward
41,Rockbjörnen,Rockbjörnen,_,GenericAward
42,Echo Music Prize,Echo Music Prize,_,GenericAward
43,VIVA Comet Awards,VIVA Comet Awards,_,GenericAward
44,American Music Award for Favorite Pop/Rock Female Artist,American Music Award,Favorite Pop/Rock Female Artist,AmericanMusicAward
45,MTV Europe Music Award for Best R&B,MTV Europe Music Award,Best R&B,MTVAward
46,Bollywood Movie Award – Best Music Director,Bollywood Movie Award,Best Music Director,GenericAward
47,Broadcast Film Critics Association Award for Best Song,Broadcast Film Critics Association Award,Best Song,GenericAward
48,Academy Award for Best Original Score,Academy Award,Best Original Score,AcademyAward
49,BAFTA Award for Best Original Music,BAFTA Award,Best Original Music,GenericAward
50,Polar Music Prize,Polar Music Prize,_,GenericAward
51,Juno Award for International Entertainer of the Year,Juno Award,International Entertainer of the Year,JunoAward
52,"Grammy Award for Best Arrangement, Instrumental and Vocals",Grammy Award,"Best Arrangement, Instrumental and Vocals",GrammyAward
53,Latin Grammy Award for Best Rock Song,Latin Grammy Award,Best Rock Song,GrammyAward
54,Latin Grammy Award for Best Rock Album,Latin Grammy Award,Best Rock Album,GrammyAward
55,"Latin Grammy Award for Best Rock Vocal Album, Duo or Group",Latin Grammy Award,"Best Rock Vocal Album, Duo or Group",GrammyAward
56,Gershwin Prize,Gershwin Prize,_,GenericAward
57,MTV Europe Music Award for Best Spanish Act,MTV Europe Music Award,Best Spanish Act,MTVAward
58,ASCAP Latin Heritage Award,ASCAP Latin Heritage Award,_,GenericAward
59,Grammy Award for Best Solo Rock Vocal Performance,Grammy Award,Best Solo Rock Vocal Performance,GrammyAward
60,Willie Nelson Lifetime Achievement Award,Willie Nelson Lifetime Achievement Award,_,GenericAward
61,Americana Award for Artist of the Year,Americana Award,Artist of the Year,AmericanaAward
62,"""Spirit of Americana"" Free Speech Award","""Spirit of Americana"" Free Speech Award",_,AmericanaAward
63,Grammy Award for Best Score Soundtrack for Visual Media,Grammy Award,Best Score Soundtrack for Visual Media,GrammyAward
64,Saturn Award for Best Music,Saturn Award,Best Music,GenericAward
65,Academy Award for Best Original Song Score,Academy Award,Best Original Song Score,AcademyAward
66,Academy Award for Best Original Dramatic Score,Academy Award,Best Original Dramatic Score,AcademyAward
67,Latin Grammy Lifetime Achievement Award,Latin Grammy Lifetime Achievement Award,_,GrammyAward
68,International Dance Music Awards,International Dance Music Awards,_,GenericAward
69,Latin Grammy Award for Best Reggaeton Performance,Latin Grammy Award,Best Reggaeton Performance,GrammyAward
70,Juno Award for Songwriter of the Year,Juno Award,Songwriter of the Year,JunoAward
71,Juno International Achievement Award,Juno International Achievement Award,_,JunoAward
72,Jack Richardson Producer of the Year Award,Jack Richardson Producer of the Year Award,_,GenericAward
73,Latin Grammy Award for Best Banda Album,Latin Grammy Award,Best Banda Album,GrammyAward
74,Georgia Music Hall of Fame,Georgia Music Hall of Fame,_,GenericAward
75,Gramophone Award for Lifetime Achievement,Gramophone Award,Lifetime Achievement,GramophoneAward
76,Grammy Award for Best Country Song,Grammy Award,Best Country Song,GrammyAward
77,Country Music Association Award for Entertainer of the Year,Country Music Association Award,Entertainer of the Year,GenericAward
78,American Music Award for Favorite Country Album,American Music Award,Favorite Country Album,AmericanMusicAward
79,QQ Music Awards,QQ Music Awards,_,GenericAward
80,Juno Award for Country Album of the Year,Juno Award,Country Album of the Year,JunoAward
81,Favorite Country New Artist,Favorite Country New Artist,_,GenericAward
82,Grammy Award for Best Country Album,Grammy Award,Best Country Album,GrammyAward
83,American Music Award for Favorite Country Female Artist,American Music Award,Favorite Country Female Artist,AmericanMusicAward
84,Herbert von Karajan Music Prize,Herbert von Karajan Music Prize,_,GenericAward
85,Echo Klassik ensemble/orchestra of the year,Echo Klassik ensemble/orchestra of the year,_,GenericAward
86,Grammy Award for Best Contemporary Folk Album,Grammy Award,Best Contemporary Folk Album,GrammyAward
87,Grammy Award for Best Americana Album,Grammy Award,Best Americana Album,GrammyAward
88,Grammy Award for Best Traditional Folk Album,Grammy Award,Best Traditional Folk Album,GrammyAward
89,Spellemann Award for pop record of the year,Spellemann Award,pop record of the year,SpellemannAward
90,Spellemann Award of the year,Spellemann Award of the year,_,SpellemannAward
91,Spellemann Award for the videoclip of l'any,Spellemann Award,the videoclip of l'any,SpellemannAward
92,Jury Honorary Award in Spellemannprisen,Jury Honorary Award in Spellemannprisen,_,SpellemannAward
93,Shortlist Music Prize,Shortlist Music Prize,_,GenericAward
94,Americana Lifetime Achievement Award for Songwriting,Americana Lifetime Achievement Award,Songwriting,AmericanaAward
