channelId,title,channelDescription,viewCount,subscriberCount,videoCount,error,originalChannel
UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,The official YouTube home of Gorillaz.,5467708509,10600000,360,0,Gorillaz
UCUPWpXNpsqc0A_IWvBZRSOw,Dom Dolla,"Australia’s DOM DOLLA is experiencing a meteoric rise, his signature style of house music is connecting with global audiences, recognised as one of the most exciting producers in electronic music.

2019, Dom’s break out year following the release of ‘Take It’, a critically acclaimed club hit, with early support from BBC Radio 1’s Pete Tong and securing Dom his debut Beatport #1. 

Dom quickly followed up delivering a royal flush of releases including San Frandisco, Moving Blind (w/ Sonny fodera), Pump The Brakes and Strangers (w/ Mansionair). Dolla’s catalog continues to accumulate over half-a-BILLION streams, with 2x Platinum & 2x Gold Certified Singles.

In 2020 Dom received the ultimate recognition winning an ARIA award for ‘Best Dance Release’ and has been commissioned by the biggest names in music for official remixes including Dua Lipa, Calvin Harris, Rufus Du Sol, Purple Disco Machine, MK & Sonny Fodera, The Martinez Brothers & Louie Vega ft Marc E.Bassy.
",91709903,118000,89,0,Dom Dolla
UCfNExBiM0HRs_Vl64UlKHMA,SalvaMuñox,Music / Música,7471277,4410,465,0,SalvaMuñox
UCEuOwB9vSL1oPKGNdONB4ig,Red Hot Chili Peppers,The official YouTube channel of the Red Hot Chili Peppers.,7462597926,7610000,184,0,Red Hot Chili Peppers
UC0sL86jDLgs2fGRD-XBnPQA,50CentVEVO,"50 Cent on Vevo - Official Music Videos, Live Performances, Interviews and more...",7675216320,4440000,64,0,50CentVEVO
UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,"Eminem on Vevo - Official Music Videos, Live Performances, Interviews and more...",21118920465,24700000,104,0,EminemVEVO
UCZtXUkd0nepv3XQ7ZkHlulQ,Wu Sound,Gotta keep the real shit comin' !,82740732,90200,174,0,Wu Sound
UCqH_E4pNvBaqyHyxzh1CeTA,Lightning,,382537,428,9,0,Lightning
UCbulh9WdLtEXiooRcYK7SWw,Metallica,The Official Metallica YouTube Channel,5923189905,10100000,2021,0,Metallica
UCGexNm_Kw4rdQjLxmpb2EKw,Metallica - Topic,"Metallica formed in 1981 by drummer Lars Ulrich and guitarist and vocalist James Hetfield and has become one of the most influential and commercially successful rock bands in history, having sold 110 million albums worldwide while playing to millions of fans on literally all seven continents. They have scored several multi-platinum albums, including 1991’s Metallica (commonly referred to as The Black Album), with sales of nearly 17 million copies in the United States alone, making it the best-selling album in the history of Soundscan. Metallica has also garnered numerous awards and accolades, including nine Grammy Awards, two American Music Awards, and multiple MTV Video Music Awards, and were inducted into the Rock and Roll Hall of Fame and Museum in 2009.  In December 2013, Metallica made history when they performed a rare concert in Antarctica, becoming the first act to ever play all seven continents all within a year, and earning themselves a spot in the Guinness Book of World Records.",867852837,159000,2366,0,Metallica - Topic
UCv5emLGrYcQAmbpeFVlzjdg,Warner Records Vault,"About Warner Records: Warner Bros. Records opened for business on March 19, 1958, above the film studio's machine shop at 3701 Warner Blvd. in Burbank. 
Among the artists who have found a home at the company: Avenged Sevenfold, Barenaked Ladies, Daniel Powter, Deftones, Devo, Eric Clapton, Green Day, Jane’s Addiction, Josh Groban, Ministry, Muse, Neil Young, Red Hot Chili Peppers, R.E.M., Seal, Serj Tankian, Smashing Pumpkins, Static-X,   The Raconteurs, The White Stripes, Trapt and countless others.",2167161368,837000,370,0,Warner Records Vault
UC5bDhHY-lFPcct9WVq3OuwA,"No Music, No Life !","Music videos from good old 80s and 90s.
",66783,269,26,0,"No Music, No Life !"
UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,"The official YouTube channel of Coldplay. New album, Music Of The Spheres, out now 👽📻

With over 100 million records sold, 9 Brit Awards and 7 Grammys, Coldplay is an iconic, alternative rock band with hit songs like Viva La Vida, Hymn For The Weekend, Paradise, The Scientist, Fix You, Adventure Of A Lifetime and Yellow. The band's legendary catalogue also includes eight #1 albums: Parachutes, A Rush of Blood to the Head, X&Y, Viva la Vida, Mylo Xyloto, Ghost Stories and A Head Full of Dreams, as well as popular collaborations like Something Just Like This with The Chainsmokers and Princess of China featuring Rihanna. 

Subscribe to Coldplay’s channel for the latest official videos.


",18119103060,25700000,408,0,Coldplay
UCIaFw5VBEK8qaW6nRpx_qnw,Coldplay - Topic,,2339289890,122000,912,0,Coldplay - Topic
UCRzzwLpLiUNIs6YOPe33eMg,ChainsmokersVEVO,"The Chainsmokers on Vevo - Official Music Videos, Live Performances, Interviews and more... ",12168515588,11000000,251,0,ChainsmokersVEVO
UCH9fakOo40rOv7HGvbGc1rQ,convar HUN,"Motorsports, tennis, films (especially European), series, musics: mainly rock, indie, blues, jazz, funk/funkrock, french pop (yé-yé), world music, flamenco, latin, ska, trip hop, breakbeat/big beat, synthwave, electro swing, house, trance, lounge/chillout/ambient/downtempo (Café del Mar!!!)

My other (Hungarian) channels:
https://indavideo.hu/profile/convar
https://videa.hu/tagok/convar-993952",48156174,102000,215,0,convar HUN
UC_kRDKYrUlrbtrSiyu5Tflg,Daft Punk,"Daft Punk (1993 - 2021) - Official YouTube Channel
",4259289573,6100000,205,0,Daft Punk
UCKHFvArwRwQU2VbRjMpaVGw,DaftPunkVEVO,"Daft Punk on Vevo - Official Music Videos, Live Performances, Interviews and more...",1797219585,2240000,24,0,DaftPunkVEVO
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,,14073190540,20800000,750,0,Linkin Park
UCq19-LqvG35A-30oyAiPiqA,Radiohead,,2681840239,3570000,144,0,Radiohead
_,_,_,_,_,_,2,Justice Elan Wenzloff
UCr_iyUANcn9OX_yy9piYoLw,Radiohead - Topic,,612489798,63800,330,0,Radiohead - Topic
UCmPuJ2BltKsGE2966jLgCnw,acdcVEVO,"AC/DC on Vevo - Official Music Videos, Live Performances, Interviews and more...",7153885897,2930000,199,0,acdcVEVO
UCbk5IumTk0ocxxsQT9OHMRw,Official Lives & Music Videos - Official Channel,"Hello everyone, This is an YouTube channel of Full Concerts, Music Videos without HD Remastered, due to Topaz is bad to make in HD, Hope you enjoy it.

Subscribe for more videos!

please DO not steal any footage I uploaded and make it our own, please give credit. Thank you
",961530,4410,135,0,Official Lives & Music Videos - Official Channel
UCrwmu-gceGOmtZeuTsn7DlQ,BlackEyedPeasVEVO,"The Black Eyed Peas on Vevo - Official Music Videos, Live Performances, Interviews and more...",10049957329,3850000,130,0,BlackEyedPeasVEVO
UCPk3RMMXAfLhMJPFpQhye9g,Tiësto,"'DRIVE' The Album out NOW ! tiesto.lnk.to/driveAY
",3748945905,6640000,492,0,Tiësto
UCulYu1HEIa7f70L2lYZWHOw,michaeljacksonVEVO,"Michael Jackson on Vevo - Official Music Videos, Live Performances, Interviews and more...",12806052425,8050000,138,0,michaeljacksonVEVO
UCnoFKofDnHdPXCnZnLXU6kQ,MJ4481,,820548,1820,19,0,MJ4481
UCFLIU9M1lGGifrjxG-9Fteg,vman,"Not really a channel, I just uploaded some Smooth Criminal Music videos by Michael Jackson in a higher quality, as the official channel hasn't uploaded any.
For the fans to enjoy :)",94010629,101000,6,0,vman
UCXJDX1KK6t121Z9FLhu5o2A,PinkVEVO,"P!nk on Vevo - Official Music Videos, Live Performances, Interviews and more...",7304077653,7100000,198,0,PinkVEVO
UCvwbqHtT-EQYHoLtWtCJ9-w,Mydełko,,2267513,4800,5,0,Mydełko
UCtylTUUVIGY_i5afsQYeBZA,Lyrical Lemonade,"THINK DEEP, DON'T SINK.",10901821692,21400000,427,0,Lyrical Lemonade
UCtQMmwBJGvINGU0lZ_GrZKQ,PharrellWilliamsVEVO,"Pharrell Williams on Vevo - Official Music Videos, Live Performances, Interviews and more...",1869521615,1340000,43,0,PharrellWilliamsVEVO
UCaHNFIob5Ixv74f5on3lvIw,CalvinHarrisVEVO,"Calvin Harris on Vevo - Official Music Videos, Live Performances, Interviews and more...",14576928653,11700000,207,0,CalvinHarrisVEVO
UCKzhoblE_rPZbHtQKPVUp2A,SZAVEVO,"SZA on Vevo - Official Music Videos, Live Performances, Interviews and more...",1908563258,1000000,103,0,SZAVEVO
UCqwxMqUcL-XC3D9-fTP93Mg,LIL UZI VERT,"

Connect with Lil Uzi Vert:
https://twitter.com/LILUZIVERT
https://www.instagram.com/liluzivert/
https://www.facebook.com/LilUziVert/
https://soundcloud.com/liluzivert",4790927886,9530000,208,0,LIL UZI VERT
UCsQBsZJltmLzlsJNG7HevBg,"Tyler, The Creator","CALL ME IF YOU GET LOST: The Estate Sale is out now: https://tylerthecreator.lnk.to/TheEstateSale
",1969603742,5000000,85,0,"Tyler, The Creator"
UCJw8VyO6e3v6S0327AsgwcQ,Pharrell Williams - Topic,,229174213,33900,269,0,Pharrell Williams - Topic
UCDGmojLIoWpXok597xYo8cg,BillieEilishVEVO,"15-year-old Los Angeles songstress Billie Eilish resembles something of a fairy tale heroine—albeit with a wicked sense of humor, and inimitable fashion sense filtered through a kaleidoscope of hip-hop, grunge, and glam tendencies ready to practically levitate above any runway. It’s this kind of je nais sais quoi that fueled the meteoric rise of her debut single “Ocean Eyes.” Produced by big brother Finneas O’Connell, the siblings uploaded the track to SoundCloud and it became a veritable phenomenon, with the song hitting #1 on the Spotify U.S. Viral chart and #3 on the Global Viral chart. In between signing to Darkroom/Interscope in 2016, Vogue decried her as “Pop’s Next It Girl,” and she has since received praise from the likes of Charli XCX and Tove Lo, plus support from Teen Vogue, ELLE, Rolling Stone, Billboard, V, W, Zane Lowe of Beats1, BBC Radio 1’s Annie Mac and many more. ",10135524049,1100000,122,0,BillieEilishVEVO
UCPW4ObAtDezrOGo2gjYOctg,MarshmelloVEVO,Marshmello,517781208,6720,39,0,MarshmelloVEVO
UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,Marshmello's Official YouTube Channel,14865761573,56700000,453,0,Marshmello
UCcN-NDV03eHs6oLd1pe2r8w,KhalidVEVO,"Khalid on Vevo - Official Music Videos, Live Performances, Interviews and more...",4936070104,2210000,139,0,KhalidVEVO
UCqrBKQHQVEvD2Q9FP0DCP2g,benny blanco,"benny blanco's official YouTube channel. 

Follow benny: 
https://bennyblanco.lnk.to/music
http://www.instagram.com/itsbennyblanco
http://www.facebook.com/itsbennyblanco
http://www.twitter.com/itsbennyblanco
http://www.tiktok.com/@itsbennyblanco
",1443193675,1820000,63,0,benny blanco
UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,"Autumn Variations out now

Ed Sheeran may be the quintessential pop star of the 2010s: an internationally acclaimed, multi-award winning singer/songwriter who seems to acknowledge no boundaries between styles or eras with elements of folk, hip-hop, pop, dance, soul, and rock woven throughout his music. 

 His incredible catalogue includes the studio albums ‘+’ (plus), ‘x’ (multiply) and ‘÷’ (divide) which spawned hit singles such as ‘The A team’ , ’Lego House’, ‘Sing;, ‘Thinking Out Loud’, ‘Photograph’, ‘Shape Of You’, ‘Castle on The Hill’ and ‘Perfect’. 
 
In 2019, Ed Sheeran released the genre-spanning ‘No.6 Collaborations Project’ which featured a wide-range of artists including ‘Justin Bieber’, ‘Camilla’ Cabello’, ‘Travis Scott’, ‘Eminem’, ‘Cardi B, ‘Bruno Mars’ and ‘Stormzy’ amongst many others, producing hits such as ‘I Don’t Care’, ‘Beautiful People’, ‘South of The Border’ and ‘Take Me Back To London’.
",31159950083,53900000,454,0,Ed Sheeran
UCmS75G-98QihSusY7NfCZtw,Bizarrap,"Productor Musical || Buenos Aires, Argentina ",8336604739,21400000,85,0,Bizarrap
UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,"Shakira on Vevo - Official Music Videos, Live Performances, Interviews and more...",26375553702,18400000,204,0,shakiraVEVO
UCjXOUJsTtVNO6UM1U0yYncQ,Café Con Telenovelas,Disfrute de videos de telenovelas en HD aquí en nuestro canal,136989427,257000,1584,0,Café Con Telenovelas
UC2a9zmrdjvLsrRgi4G4blWw,MGKVEVO,"Machine Gun Kelly on Vevo - Official Music Videos, Live Performances, Interviews and more...",2723942657,2300000,115,0,MGKVEVO
