channelId,title,channelDescription,viewCount,subscriberCount,videoCount,error
UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,The official YouTube home of Gorillaz.,5467708509,10600000,360,0
UCUPWpXNpsqc0A_IWvBZRSOw,Dom Dolla,"Australia’s DOM DOLLA is experiencing a meteoric rise, his signature style of house music is connecting with global audiences, recognised as one of the most exciting producers in electronic music.

2019, Dom’s break out year following the release of ‘Take It’, a critically acclaimed club hit, with early support from BBC Radio 1’s Pete Tong and securing Dom his debut Beatport #1. 

Dom quickly followed up delivering a royal flush of releases including San Frandisco, Moving Blind (w/ Sonny fodera), Pump The Brakes and Strangers (w/ Mansionair). Dolla’s catalog continues to accumulate over half-a-BILLION streams, with 2x Platinum & 2x Gold Certified Singles.

In 2020 Dom received the ultimate recognition winning an ARIA award for ‘Best Dance Release’ and has been commissioned by the biggest names in music for official remixes including Dua Lipa, Calvin Harris, Rufus Du Sol, Purple Disco Machine, MK & Sonny Fodera, The Martinez Brothers & Louie Vega ft Marc E.Bassy.
",91709903,118000,89,0
UCfNExBiM0HRs_Vl64UlKHMA,SalvaMuñox,Music / Música,7471277,4410,465,0
UCEuOwB9vSL1oPKGNdONB4ig,Red Hot Chili Peppers,The official YouTube channel of the Red Hot Chili Peppers.,7462597926,7610000,184,0
UC0sL86jDLgs2fGRD-XBnPQA,50CentVEVO,"50 Cent on Vevo - Official Music Videos, Live Performances, Interviews and more...",7675216320,4440000,64,0
UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,"Eminem on Vevo - Official Music Videos, Live Performances, Interviews and more...",21118920465,24700000,104,0
UCZtXUkd0nepv3XQ7ZkHlulQ,Wu Sound,Gotta keep the real shit comin' !,82740732,90200,174,0
UCqH_E4pNvBaqyHyxzh1CeTA,Lightning,,382537,428,9,0
UCbulh9WdLtEXiooRcYK7SWw,Metallica,The Official Metallica YouTube Channel,5923189905,10100000,2021,0
UCGexNm_Kw4rdQjLxmpb2EKw,Metallica - Topic,"Metallica formed in 1981 by drummer Lars Ulrich and guitarist and vocalist James Hetfield and has become one of the most influential and commercially successful rock bands in history, having sold 110 million albums worldwide while playing to millions of fans on literally all seven continents. They have scored several multi-platinum albums, including 1991’s Metallica (commonly referred to as The Black Album), with sales of nearly 17 million copies in the United States alone, making it the best-selling album in the history of Soundscan. Metallica has also garnered numerous awards and accolades, including nine Grammy Awards, two American Music Awards, and multiple MTV Video Music Awards, and were inducted into the Rock and Roll Hall of Fame and Museum in 2009.  In December 2013, Metallica made history when they performed a rare concert in Antarctica, becoming the first act to ever play all seven continents all within a year, and earning themselves a spot in the Guinness Book of World Records.",867852837,159000,2366,0
UCv5emLGrYcQAmbpeFVlzjdg,Warner Records Vault,"About Warner Records: Warner Bros. Records opened for business on March 19, 1958, above the film studio's machine shop at 3701 Warner Blvd. in Burbank. 
Among the artists who have found a home at the company: Avenged Sevenfold, Barenaked Ladies, Daniel Powter, Deftones, Devo, Eric Clapton, Green Day, Jane’s Addiction, Josh Groban, Ministry, Muse, Neil Young, Red Hot Chili Peppers, R.E.M., Seal, Serj Tankian, Smashing Pumpkins, Static-X,   The Raconteurs, The White Stripes, Trapt and countless others.",2167161368,837000,370,0
UC5bDhHY-lFPcct9WVq3OuwA,"No Music, No Life !","Music videos from good old 80s and 90s.
",66783,269,26,0
UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,"The official YouTube channel of Coldplay. New album, Music Of The Spheres, out now 👽📻

With over 100 million records sold, 9 Brit Awards and 7 Grammys, Coldplay is an iconic, alternative rock band with hit songs like Viva La Vida, Hymn For The Weekend, Paradise, The Scientist, Fix You, Adventure Of A Lifetime and Yellow. The band's legendary catalogue also includes eight #1 albums: Parachutes, A Rush of Blood to the Head, X&Y, Viva la Vida, Mylo Xyloto, Ghost Stories and A Head Full of Dreams, as well as popular collaborations like Something Just Like This with The Chainsmokers and Princess of China featuring Rihanna. 

Subscribe to Coldplay’s channel for the latest official videos.


",18119103060,25700000,408,0
